Airline_ID,Airline_Name,Flight_Number,Departure_Date,Arrival_Date,Departure_Time,Arrival_Time,Booking_Code,Passenger_Name,Seat_Number,Class,Fare,Extras,Loyalty_Points,Status,Gate,Terminal,Baggage_Claim,Duration_Hours,Layovers,Layover_Locations,Aircraft_Type,Pilot,Cabin_Crew,Inflight_Entertainment,Meal_Option,WiFi,Window_Seat,Aisle_Seat,Emergency_Exit_Row,Number_Of_Stops,Reward_Program_Member
1,American Airline,2890,2023-01-17 08:11:37,2023-10-24 01:31:46,02:58:15,11:42:36,BPSW,Name_PSZWH,SeatYPS,First,533.31,Meal,0,Confirmed,GateEP,B,ClaimHCR,6.4,2,LOCBXP,TypeENY,Pilot_MQAP,Crew_SIMT,Yes,Non-Vegetarian,Available,False,True,False,2,Yes
1,American Airline,7175,2023-01-18 04:42:17,2023-10-30 02:08:55,05:55:40,04:32:31,BNOS,Name_EOZMN,SeatWHM,First,271.37,No Extras,0,Cancelled,GateTX,D,ClaimYCE,1.41,1,LOCDIT,TypeHUO,Pilot_VBFQ,Crew_MUJQ,Yes,Vegetarian,Not Available,False,False,True,1,Yes
1,American Airline,9125,2023-07-14 01:59:21,2023-08-26 07:56:47,17:57:04,08:45:07,BLWH,Name_ZHXHM,SeatTWC,Economy,242.38,Meal,0,Cancelled,GateZL,A,ClaimNSJ,11.36,2,LOCLPP,TypeBXY,Pilot_LYQU,Crew_VJIU,No,No Meal,Available,False,False,True,0,No
1,American Airline,1937,2023-06-17 05:14:48,2023-08-28 06:39:16,12:14:16,02:08:59,BNSJ,Name_XPSQP,SeatHGE,First,713.53,No Extras,300,Pending,GateNB,D,ClaimTHS,6.7,0,LOCIDZ,TypeTYA,Pilot_MJJF,Crew_QDUV,No,Vegetarian,Available,False,True,True,2,No
1,American Airline,1518,2023-05-02 16:36:39,2023-09-17 18:20:34,21:13:29,06:24:07,BDIN,Name_UICQX,SeatEFX,First,817.16,Meal,0,Pending,GateSH,C,ClaimWPD,2.82,1,LOCURW,TypeATV,Pilot_XPNK,Crew_MMRL,Yes,Vegetarian,Available,False,False,True,0,Yes
1,American Airline,1443,2023-05-12 04:34:20,2023-08-26 13:15:32,22:38:50,15:28:34,BQRU,Name_TKGNY,SeatABW,Business,209.91,Meal,576,Pending,GateQY,A,ClaimYDQ,5.85,2,LOCDUH,TypeSQH,Pilot_PTFK,Crew_HBAP,Yes,Vegetarian,Not Available,True,False,False,2,No
1,American Airline,3953,2023-05-21 05:51:02,2023-08-30 05:13:14,08:59:51,18:58:46,BAYP,Name_URJOJ,SeatROJ,First,967.45,Extra Baggage,3910,Cancelled,GateTD,A,ClaimRRY,2.54,2,LOCLWT,TypeVMU,Pilot_ODXS,Crew_BSLZ,Yes,Vegan,Available,True,False,True,2,No
1,American Airline,3749,2023-04-13 01:19:31,2023-05-15 07:15:25,10:48:22,14:34:09,BVPA,Name_XUFCD,SeatINN,First,674.92,Meal,0,Confirmed,GateZB,B,ClaimVEZ,3.77,2,LOCVTI,TypeDUK,Pilot_MGTG,Crew_BJOJ,No,Vegan,Available,False,False,False,2,Yes
1,American Airline,9128,2023-02-18 04:39:20,2023-08-07 17:44:55,17:34:21,17:11:31,BGYH,Name_YHACH,SeatOXE,Business,899.61,No Extras,0,Pending,GateAW,C,ClaimTDY,11.24,0,LOCQBY,TypeAQW,Pilot_GFHQ,Crew_BAUM,Yes,Vegetarian,Available,True,True,False,0,Yes
1,American Airline,9284,2023-05-29 08:10:20,2023-06-14 00:36:41,20:18:03,19:42:59,BHPU,Name_MRORA,SeatOVI,Business,109.5,No Extras,3506,Cancelled,GateKW,D,ClaimIFT,10.76,2,LOCOLA,TypeTKF,Pilot_UFXR,Crew_DWDN,Yes,Vegetarian,Available,False,True,True,2,No
1,American Airline,1788,2023-05-06 15:14:30,2023-06-26 22:00:50,08:28:25,22:01:24,BNNH,Name_KJQCS,SeatEJD,First,813.51,Extra Baggage,0,Pending,GateGT,A,ClaimAOJ,4.53,1,LOCDML,TypeKSY,Pilot_ZPUB,Crew_TMUV,Yes,No Meal,Available,True,False,False,0,Yes
1,American Airline,8300,2023-01-09 00:18:09,2023-03-23 19:09:42,01:18:07,01:35:14,BSAA,Name_NFFWT,SeatKBZ,Business,160.33,Extra Baggage,0,Pending,GateNW,A,ClaimGHI,11.6,1,LOCMMI,TypeJPR,Pilot_CUWG,Crew_VBQB,No,Vegan,Available,False,False,True,1,No
1,American Airline,3964,2023-04-11 07:32:19,2023-06-22 20:47:40,06:21:19,20:31:44,BBRL,Name_VLPPE,SeatPHD,Economy,638.7,Meal,0,Pending,GateBY,B,ClaimDYJ,9.88,1,LOCPVI,TypeCDX,Pilot_KEZO,Crew_DBXM,No,Vegan,Available,False,True,False,0,Yes
1,American Airline,5637,2023-01-01 06:11:59,2023-11-19 10:27:59,16:53:00,01:42:50,BDRU,Name_PFNJV,SeatZJA,First,667.16,Extra Baggage,0,Pending,GateCI,A,ClaimXOL,1.31,0,LOCHFY,TypeTYJ,Pilot_LPSM,Crew_UKBF,Yes,Vegan,Available,True,True,False,2,No
1,American Airline,9479,2023-06-18 19:06:48,2023-10-28 16:11:21,08:24:05,03:55:42,BEEN,Name_UTAHT,SeatAML,Economy,999.11,Extra Baggage,0,Confirmed,GateDH,A,ClaimLAS,6.1,1,LOCRKT,TypeXQV,Pilot_ARXO,Crew_QNJY,No,No Meal,Available,False,True,False,0,Yes
1,American Airline,8564,2023-05-24 20:18:37,2023-09-30 01:27:00,10:09:37,01:56:48,BPYT,Name_QOCUS,SeatOKT,Economy,198.6,No Extras,0,Cancelled,GateVX,D,ClaimFWC,11.38,0,LOCRTZ,TypeRLT,Pilot_ZPUU,Crew_RHAY,No,Vegetarian,Not Available,True,True,False,2,Yes
1,American Airline,4975,2023-08-12 15:55:37,2023-12-17 00:58:33,11:34:24,22:13:33,BJUQ,Name_ODAAF,SeatSFA,First,759.54,Extra Baggage,0,Cancelled,GateMS,A,ClaimGVO,8.87,1,LOCYSK,TypeVDY,Pilot_IFLK,Crew_CGPR,Yes,Vegetarian,Available,False,False,False,1,No
1,American Airline,2184,2023-04-07 20:10:17,2023-09-09 07:44:03,03:24:32,19:37:38,BPIC,Name_HYYCO,SeatROD,Business,998.08,Meal,0,Cancelled,GateOG,D,ClaimDFW,7.87,0,LOCGLS,TypeOIB,Pilot_DDTH,Crew_NUSD,Yes,Vegan,Not Available,False,True,False,2,No
1,American Airline,5077,2023-01-19 10:36:25,2023-04-13 19:24:33,20:37:07,15:25:25,BFLU,Name_EKNRJ,SeatFBE,First,707.66,Meal,0,Cancelled,GateJP,C,ClaimTJC,8.81,1,LOCXBT,TypeZZP,Pilot_QNFD,Crew_YRSP,Yes,No Meal,Available,True,False,False,0,Yes
1,American Airline,1930,2023-03-09 01:52:48,2023-05-08 17:14:18,10:46:25,04:02:19,BNBD,Name_TXFEP,SeatKTZ,Business,798.32,Extra Baggage,0,Cancelled,GateCX,B,ClaimFXE,1.06,1,LOCIYJ,TypeMLC,Pilot_GZEP,Crew_AUBA,No,No Meal,Not Available,False,False,True,0,Yes
1,American Airline,5224,2023-01-13 04:37:58,2023-05-15 18:05:05,08:30:41,22:39:38,BPVX,Name_CRUWT,SeatKVT,Economy,347.36,Extra Baggage,0,Cancelled,GateYL,A,ClaimCBY,8.47,1,LOCRNW,TypeMFO,Pilot_BNRR,Crew_CTOL,No,Vegetarian,Available,False,False,False,2,No
1,American Airline,6518,2023-04-15 17:22:09,2023-08-11 18:34:05,12:39:43,14:02:20,BKFU,Name_DBETB,SeatCBU,Economy,84.59,Meal,0,Cancelled,GateVR,A,ClaimYCZ,6.58,0,LOCRYN,TypeBEF,Pilot_DANC,Crew_ZTQW,No,Vegetarian,Available,False,False,False,0,No
1,American Airline,8386,2023-08-22 10:56:47,2023-11-15 05:11:04,13:44:56,14:44:04,BEFX,Name_OBDFO,SeatMFR,First,109.49,Extra Baggage,0,Confirmed,GateMV,C,ClaimSYQ,1.13,2,LOCYFA,TypeDVR,Pilot_ILQT,Crew_TWMA,No,Vegan,Available,False,True,True,0,Yes
1,American Airline,5300,2023-07-13 20:45:20,2023-09-28 00:27:30,03:53:06,16:28:29,BIRJ,Name_DINJJ,SeatRTX,Economy,482.22,No Extras,0,Cancelled,GateHD,C,ClaimVTC,1.19,2,LOCZPP,TypeGGW,Pilot_CTTP,Crew_CYHE,Yes,Vegan,Not Available,True,True,False,2,Yes
1,American Airline,4480,2023-03-05 20:39:52,2023-11-30 00:19:21,22:27:27,09:15:48,BQQT,Name_YZGLO,SeatHZT,Business,384.08,Extra Baggage,3094,Cancelled,GateNL,C,ClaimPUW,8.99,1,LOCIPF,TypeVXC,Pilot_SODC,Crew_UZDU,No,Non-Vegetarian,Available,False,True,False,1,Yes
1,American Airline,5838,2023-05-22 23:36:36,2023-10-13 03:43:23,08:11:40,01:45:26,BETM,Name_YMBVV,SeatZZC,Economy,870.97,Extra Baggage,4802,Pending,GateXW,D,ClaimDKC,7.94,1,LOCZFW,TypeANT,Pilot_YCOS,Crew_RUUQ,No,Non-Vegetarian,Not Available,False,True,True,2,No
1,American Airline,3193,2023-02-11 18:33:57,2023-04-13 07:57:10,10:14:44,15:26:14,BEVX,Name_PXJWP,SeatKQN,Business,806.88,Extra Baggage,4475,Confirmed,GateWJ,A,ClaimWOA,3.9,2,LOCXTS,TypeEOV,Pilot_EZHW,Crew_ADRZ,No,Vegetarian,Not Available,False,True,False,0,Yes
